,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
1072,15.8,2.0,50.0,23.0,15.0,7.0,Евро,Свободная продажа,2023.0,Монолитный,Серия неизвестна,18.0,есть,55.591549,37.425117,21.587025064125207
1073,13.9,2.0,43.0,28.0,6.0,6.0,Косметический,Свободная продажа,1969.0,Монолитный,01-пз индивидуальный проект,9.0,есть,55.764242,37.71777,6.426669788111343
1074,45.0,3.0,82.0,66.0,10.0,15.0,Требует ремонта,Свободная продажа,2021.0,Монолитный,Серия неизвестна,37.0,Неизвестно,55.794173,37.542213,6.6716888149330575
1075,67.0,7.0,161.5,120.0,15.0,3.0,Дизайнерский,Свободная продажа,1917.0,Кирпичный,01-пз индивидуальный проект,6.0,есть,55.775565,37.60805,2.6932795564886596
1076,14.0,1.0,40.2,17.0,10.6,7.0,Евро,Свободная продажа,2002.0,Монолитный,Серия неизвестна,17.0,Неизвестно,55.81649,37.794828,13.229047923855388
1077,9.55,1.0,42.3,20.7,9.5,9.0,Косметический,Свободная продажа,1984.0,Железобетон,П-46,14.0,есть,55.892193,37.52916,16.566913318215096
1078,42.0,2.0,74.5,36.5,10.8,7.0,Не известно,Свободная продажа,2020.0,Блочный,II-32,5.0,Неизвестно,55.689537,37.557816,7.908250632392085
1079,36.0,3.0,85.4,44.4,11.4,36.0,Требует ремонта,Свободная продажа,2021.0,Монолитный,Серия неизвестна,39.0,есть,55.768046,37.499659,7.624882725973848
1080,18.499,1.0,40.1,17.8,12.0,2.0,Дизайнерский,Свободная продажа,2022.0,Монолитный,Серия неизвестна,25.0,Неизвестно,55.77751,37.541781,5.5496031596866295
1081,20.5,4.0,108.7,65.0,12.1,19.0,Отсутствует,Свободная продажа,2022.0,Монолитный,Серия неизвестна,25.0,есть,55.603644,37.372683,22.593855460820436
1082,15.1,2.0,61.7,32.24744287268771,10.0,3.0,Не известно,Неизвестно,2023.0,Монолитный,Серия неизвестна,18.0,есть,55.591549,37.425117,21.587025064125207
1083,44.0,3.0,100.0,70.0,20.0,15.0,Дизайнерский,Свободная продажа,2012.0,Панельный,И-155,22.0,есть,55.738794,37.491395,8.06944403668342
1084,14.69,3.0,63.4,43.9,7.2,6.0,Отсутствует,Свободная продажа,1970.0,Железобетон,II-57,9.0,есть,55.667203,37.583688,9.680423188161871
1085,10.6,1.0,40.1,19.5,10.1,14.0,Евро,Свободная продажа,2017.0,Панельный,П-44К,17.0,есть,55.635747,37.316529,22.94109748970737
1086,12.2,3.0,58.0,50.12529182879378,6.0,9.0,Не известно,Неизвестно,1975.0,Панельный,1-515-9М,9.0,есть,55.679737,37.76539,12.282081583602022
1087,10.98,1.0,38.0,19.0,8.0,10.0,Косметический,Свободная продажа,1981.0,Железобетон,П-44,16.0,есть,55.62761,37.484891,16.173916896434854
1088,9.8,1.0,36.9,18.754882337030025,9.5,8.0,Не известно,Неизвестно,2019.0,Монолитный,Серия неизвестна,16.0,есть,55.565213,37.493317,22.221501904679506
1089,15.5,2.0,60.3,34.0,13.0,11.0,Евро,Свободная продажа,2013.0,Железобетон,П-44Т,17.0,есть,55.700507,37.925209,20.15224237019004
1090,10.95,2.0,45.5,32.24744287268771,7.0,12.0,Косметический,Свободная продажа,1974.0,Железобетон,II-57,12.0,есть,55.602144,37.720142,17.88497305592868
1091,85.0,4.0,120.0,80.0,10.0,8.0,Отсутствует,Свободная продажа,1931.0,Кирпичный,01-пз индивидуальный проект,12.0,есть,55.744444,37.613072,0.8906449976967288
1092,55.0,4.0,154.0,79.50650510204082,18.169964664310953,8.0,Под чистовой ремонт,Свободная продажа,2010.0,Монолитный,Серия неизвестна,24.0,Неизвестно,55.665264,37.471866,13.316611426854312
1093,28.82286,2.0,34.4,22.0,6.0,4.0,Евро,Свободная продажа,1932.0,Кирпичный,II-14,8.0,есть,55.768886,37.653864,2.9461165438895143
1094,12.5,1.0,39.8,18.5,9.0,1.0,Косметический,Свободная продажа,2004.0,Блочный,01-пз индивидуальный проект,16.0,есть,55.737157,37.433445,11.691385962377074
1095,130.0,4.0,204.0,79.50650510204082,18.169964664310953,10.0,под ключ,Свободная продажа,2005.0,Монолитный,Серия неизвестна,17.0,Неизвестно,55.7166,37.50902,7.885067480924903
